corpus,model,tier,query_format,n_docs,B,delta_full,correct,p_correct,ci_lo,ci_hi
er_reason,MedCPT,1,nl,20,500,-0.15522222222222215,208,0.416,0.37359670506840015,0.4596842308447916
er_reason,MedCPT,1,nl,30,500,-0.15522222222222215,236,0.472,0.4286219475993197,0.5158050310384108
er_reason,MedCPT,1,nl,50,500,-0.15522222222222215,312,0.624,0.5807483730601202,0.6653607215442159
er_reason,MedCPT,1,nl,75,500,-0.15522222222222215,476,0.952,0.9295723199393156,0.9675350249087478
er_reason,MedCPT,1,keyword,10,500,-0.21621428571428564,181,0.362,0.32107531661676714,0.4050290780977621
er_reason,MedCPT,1,keyword,20,500,-0.21621428571428564,342,0.684,0.641977078070737,0.7232170623098906
er_reason,MedCPT,1,keyword,30,500,-0.21621428571428564,422,0.844,0.8095845658230334,0.8731696966277049
er_reason,MedCPT,1,keyword,50,500,-0.21621428571428564,499,0.998,0.9887590072528046,0.9996468726904154
er_reason,MedCPT,1,keyword,75,500,-0.21621428571428564,500,1.0,0.9923753814690964,0.9999999999999999
er_reason,Nomic-embed-text,1,nl,10,500,-0.07850000000000001,121,0.242,0.20651719550386513,0.28141710765808103
er_reason,Nomic-embed-text,1,nl,20,500,-0.07850000000000001,267,0.534,0.4901815185143591,0.5773000074255396
er_reason,Nomic-embed-text,1,nl,30,500,-0.07850000000000001,355,0.71,0.6687444142064393,0.7480532460105812
er_reason,Nomic-embed-text,1,nl,50,500,-0.07850000000000001,462,0.924,0.8974030342199025,0.9441312892658914
er_reason,Nomic-embed-text,1,nl,75,500,-0.07850000000000001,500,1.0,0.9923753814690964,0.9999999999999999
er_reason,Nomic-embed-text,1,keyword,10,500,-0.09582936507936501,167,0.334,0.2940631065718404,0.37646826678041956
er_reason,Nomic-embed-text,1,keyword,20,500,-0.09582936507936501,316,0.632,0.5888709172413829,0.6731161834664587
er_reason,Nomic-embed-text,1,keyword,30,500,-0.09582936507936501,404,0.808,0.7711789076945584,0.8401243272904052
er_reason,Nomic-embed-text,1,keyword,50,500,-0.09582936507936501,472,0.944,0.9202547013596158,0.9609746373849419
er_reason,Nomic-embed-text,1,keyword,75,500,-0.09582936507936501,500,1.0,0.9923753814690964,0.9999999999999999
er_reason,Nomic-embed-text-nopfx,1,nl,10,500,-0.2270476190476189,110,0.22,0.1859003473955845,0.2583694389817214
er_reason,Nomic-embed-text-nopfx,1,nl,20,500,-0.2270476190476189,179,0.358,0.3172068787655445,0.400958512897232
er_reason,Nomic-embed-text-nopfx,1,nl,30,500,-0.2270476190476189,313,0.626,0.582777860120605,0.6673007360096074
