corpus,variant,query_format,model,tier,max_len_used,baseline_MRR10,zca_MRR10,delta_MRR10
mimic_discharge,full512,nl,ClinicalBERT,2,512,0.16370238095238093,0.2561230158730159,0.09242063492063496
mimic_discharge,full512,keyword,ClinicalBERT,2,512,0.27142063492063495,0.36292857142857143,0.09150793650793648
mimic_discharge,full512,nl,BERT-base-uncased,2,512,0.09198015873015873,0.13835714285714285,0.046376984126984114
mimic_discharge,full512,keyword,BERT-base-uncased,2,512,0.11819047619047619,0.20074603174603176,0.08255555555555556
mimic_discharge,full512,nl,BioLORD-2023,1,512,0.7321071428571428,0.4643571428571429,-0.26774999999999993
mimic_discharge,full512,keyword,BioLORD-2023,1,512,0.6183253968253968,0.4430833333333334,-0.1752420634920634
mimic_discharge,full512,nl,MedCPT,1,512,0.6996071428571429,0.48581349206349217,-0.2137936507936507
mimic_discharge,full512,keyword,MedCPT,1,512,0.7757619047619048,0.6013809523809523,-0.17438095238095241
mimic_discharge,full512,nl,BGE-base,1,512,0.8715,0.6736190476190476,-0.1978809523809525
mimic_discharge,full512,keyword,BGE-base,1,512,0.7927500000000001,0.6621904761904761,-0.13055952380952396
mimic_discharge,full512,nl,GTE-base,1,512,0.8736666666666666,0.7478888888888888,-0.12577777777777777
mimic_discharge,full512,keyword,GTE-base,1,512,0.8260277777777779,0.7331587301587302,-0.09286904761904768
mimic_discharge,full512,nl,Nomic-embed-text,1,512,0.7972063492063493,0.6773452380952381,-0.1198611111111112
mimic_discharge,full512,keyword,Nomic-embed-text,1,512,0.7446349206349205,0.7071507936507936,-0.03748412698412695
mimic_discharge,full512,nl,Nomic-embed-text-nopfx,1,512,0.795218253968254,0.5895277777777779,-0.2056904761904761
mimic_discharge,full512,keyword,Nomic-embed-text-nopfx,1,512,0.7355079365079366,0.6369761904761905,-0.09853174603174608
mimic_discharge,full512,nl,E5-Mistral-7B,2,512,0.49466269841269833,0.3516071428571429,-0.14305555555555544
mimic_discharge,full512,keyword,E5-Mistral-7B,2,512,0.5370515873015873,0.43051190476190476,-0.10653968253968255
mimic_discharge,full512,nl,E5-Mistral-7B-ablation,2,512,0.4637023809523811,0.4430436507936508,-0.020658730158730265
mimic_discharge,full512,keyword,E5-Mistral-7B-ablation,2,512,0.4671230158730158,0.512015873015873,0.044892857142857234
mimic_discharge,full512,nl,Phi-3-mini,2,512,0.27967460317460324,0.38164682539682543,0.10197222222222219
mimic_discharge,full512,keyword,Phi-3-mini,2,512,0.3154603174603175,0.49272619047619054,0.17726587301587304
mimic_discharge,full512,nl,BioMistral-7B,2,512,0.1289404761904762,0.2079563492063492,0.07901587301587301
mimic_discharge,full512,keyword,BioMistral-7B,2,512,0.26836904761904756,0.2985238095238095,0.030154761904761962
