model,corpus,query_format,epsilon,baseline_MRR@10,corpus_only_ZCA_MRR@10,dMRR@10,Recall@10,tier
BioLORD-2023,PMC-Patients,natural_language,0.01,0.9816666666666666,0.9479166666666667,-0.033749999999999836,1.0,1
BioLORD-2023,Synthetic,keyword,1e-07,0.5661468253968255,0.4469563492063493,-0.11919047619047618,0.7,1
BioLORD-2023,Synthetic,keyword,1e-06,0.5661468253968255,0.44206746031746036,-0.12407936507936512,0.7,1
BioLORD-2023,Synthetic,keyword,1e-05,0.5661468253968255,0.4532063492063492,-0.11294047619047626,0.7,1
BioLORD-2023,Synthetic,keyword,0.0001,0.5661468253968255,0.45823015873015877,-0.10791666666666672,0.72,1
BioLORD-2023,Synthetic,keyword,0.001,0.5661468253968255,0.5258452380952381,-0.040301587301587394,0.77,1
BioLORD-2023,Synthetic,keyword,0.01,0.5661468253968255,0.5790238095238096,0.012876984126984126,0.83,1
BioLORD-2023,Synthetic,natural_language,1e-07,0.6482063492063493,0.4363055555555555,-0.21190079365079384,0.72,1
BioLORD-2023,Synthetic,natural_language,1e-06,0.6482063492063493,0.43580555555555556,-0.21240079365079378,0.72,1
BioLORD-2023,Synthetic,natural_language,1e-05,0.6482063492063493,0.436484126984127,-0.21172222222222237,0.72,1
BioLORD-2023,Synthetic,natural_language,0.0001,0.6482063492063493,0.45130158730158726,-0.19690476190476208,0.73,1
BioLORD-2023,Synthetic,natural_language,0.001,0.6482063492063493,0.5473849206349207,-0.10082142857142862,0.8,1
BioLORD-2023,Synthetic,natural_language,0.01,0.6482063492063493,0.6194999999999999,-0.028706349206349402,0.85,1
MedCPT,MTSamples,keyword,1e-07,0.8758333333333332,0.8087619047619047,-0.06707142857142856,0.92,1
MedCPT,MTSamples,keyword,1e-06,0.8758333333333332,0.8087619047619047,-0.06707142857142856,0.92,1
MedCPT,MTSamples,keyword,1e-05,0.8758333333333332,0.8095952380952381,-0.0662380952380951,0.92,1
MedCPT,MTSamples,keyword,0.0001,0.8758333333333332,0.8170952380952382,-0.058738095238095034,0.93,1
MedCPT,MTSamples,keyword,0.001,0.8758333333333332,0.8669999999999999,-0.00883333333333336,0.95,1
MedCPT,MTSamples,keyword,0.01,0.8758333333333332,0.8739285714285714,-0.0019047619047618536,0.96,1
MedCPT,MTSamples,natural_language,1e-07,0.7986111111111112,0.744857142857143,-0.053753968253968165,0.89,1
MedCPT,MTSamples,natural_language,1e-06,0.7986111111111112,0.7449682539682538,-0.053642857142857325,0.89,1
MedCPT,MTSamples,natural_language,1e-05,0.7986111111111112,0.7499682539682538,-0.04864285714285732,0.89,1
MedCPT,MTSamples,natural_language,0.0001,0.7986111111111112,0.7721071428571429,-0.02650396825396828,0.89,1
MedCPT,MTSamples,natural_language,0.001,0.7986111111111112,0.8119166666666666,0.01330555555555546,0.92,1
MedCPT,MTSamples,natural_language,0.01,0.7986111111111112,0.8374563492063491,0.03884523809523799,0.94,1
MedCPT,PMC-Patients,keyword,1e-07,0.9266666666666667,0.8153730158730158,-0.11129365079365094,0.95,1
MedCPT,PMC-Patients,keyword,1e-06,0.9266666666666667,0.8153730158730158,-0.11129365079365094,0.95,1
MedCPT,PMC-Patients,keyword,1e-05,0.9266666666666667,0.8153730158730158,-0.11129365079365094,0.95,1
MedCPT,PMC-Patients,keyword,0.0001,0.9266666666666667,0.8255277777777777,-0.101138888888889,0.95,1
MedCPT,PMC-Patients,keyword,0.001,0.9266666666666667,0.8979166666666666,-0.028750000000000164,0.99,1
MedCPT,PMC-Patients,keyword,0.01,0.9266666666666667,0.9230952380952381,-0.0035714285714286698,1.0,1
MedCPT,PMC-Patients,natural_language,1e-07,0.8839285714285714,0.8205396825396827,-0.06338888888888872,0.93,1
MedCPT,PMC-Patients,natural_language,1e-06,0.8839285714285714,0.8205396825396827,-0.06338888888888872,0.93,1
MedCPT,PMC-Patients,natural_language,1e-05,0.8839285714285714,0.8255396825396827,-0.05838888888888871,0.93,1
MedCPT,PMC-Patients,natural_language,0.0001,0.8839285714285714,0.8300952380952381,-0.05383333333333329,0.93,1
MedCPT,PMC-Patients,natural_language,0.001,0.8839285714285714,0.8733888888888889,-0.010539682539682516,0.97,1
