Corpus,Configuration,Nominal tier,Query format,Documents sampled,Draws,Full-sample dMRR@10,Draws with correct sign,Agreement rate,Wilson lower,Wilson upper,reference sign,contributes to
er_reason,ClinicalBERT,2,nl,50,500,0.0869,496,0.992,0.9796,0.9969,positive,sensitivity
er_reason,ClinicalBERT,2,nl,75,500,0.0869,500,1.0,0.9924,1.0,positive,sensitivity
er_reason,E5-Mistral-7B,2,keyword,10,500,0.0877,338,0.676,0.6338,0.7155,positive,sensitivity
er_reason,E5-Mistral-7B,2,keyword,20,500,0.0877,460,0.92,0.8929,0.9407,positive,sensitivity
er_reason,E5-Mistral-7B,2,keyword,30,500,0.0877,487,0.974,0.956,0.9847,positive,sensitivity
er_reason,E5-Mistral-7B,2,keyword,50,500,0.0877,500,1.0,0.9924,1.0,positive,sensitivity
er_reason,E5-Mistral-7B,2,keyword,75,500,0.0877,500,1.0,0.9924,1.0,positive,sensitivity
er_reason,E5-Mistral-7B,2,nl,10,500,0.0504,416,0.832,0.7967,0.8622,positive,sensitivity
er_reason,E5-Mistral-7B,2,nl,20,500,0.0504,474,0.948,0.9249,0.9643,positive,sensitivity
er_reason,E5-Mistral-7B,2,nl,30,500,0.0504,477,0.954,0.9319,0.9692,positive,sensitivity
er_reason,E5-Mistral-7B,2,nl,50,500,0.0504,480,0.96,0.939,0.974,positive,sensitivity
er_reason,E5-Mistral-7B,2,nl,75,500,0.0504,486,0.972,0.9536,0.9832,positive,sensitivity
er_reason,E5-Mistral-7B-ablation,2,keyword,10,500,0.1746,309,0.618,0.5747,0.6595,positive,sensitivity
er_reason,E5-Mistral-7B-ablation,2,keyword,20,500,0.1746,361,0.722,0.6812,0.7595,positive,sensitivity
er_reason,E5-Mistral-7B-ablation,2,keyword,30,500,0.1746,382,0.764,0.7249,0.7991,positive,sensitivity
er_reason,E5-Mistral-7B-ablation,2,keyword,50,500,0.1746,448,0.896,0.8662,0.9198,positive,sensitivity
er_reason,E5-Mistral-7B-ablation,2,keyword,75,500,0.1746,499,0.998,0.9888,0.9996,positive,sensitivity
er_reason,E5-Mistral-7B-ablation,2,nl,10,500,0.173,299,0.598,0.5544,0.6401,positive,sensitivity
er_reason,E5-Mistral-7B-ablation,2,nl,20,500,0.173,381,0.762,0.7228,0.7972,positive,sensitivity
er_reason,E5-Mistral-7B-ablation,2,nl,30,500,0.173,410,0.82,0.7839,0.8512,positive,sensitivity
er_reason,E5-Mistral-7B-ablation,2,nl,50,500,0.173,443,0.886,0.8552,0.911,positive,sensitivity
er_reason,E5-Mistral-7B-ablation,2,nl,75,500,0.173,480,0.96,0.939,0.974,positive,sensitivity
er_reason,Phi-3-mini,2,keyword,10,500,0.2617,373,0.746,0.7061,0.7822,positive,sensitivity
er_reason,Phi-3-mini,2,keyword,20,500,0.2617,474,0.948,0.9249,0.9643,positive,sensitivity
er_reason,Phi-3-mini,2,keyword,30,500,0.2617,491,0.982,0.9661,0.9905,positive,sensitivity
er_reason,Phi-3-mini,2,keyword,50,500,0.2617,500,1.0,0.9924,1.0,positive,sensitivity
er_reason,Phi-3-mini,2,keyword,75,500,0.2617,500,1.0,0.9924,1.0,positive,sensitivity
er_reason,Phi-3-mini,2,nl,10,500,0.2317,351,0.702,0.6605,0.7404,positive,sensitivity
er_reason,Phi-3-mini,2,nl,20,500,0.2317,425,0.85,0.816,0.8786,positive,sensitivity
er_reason,Phi-3-mini,2,nl,30,500,0.2317,474,0.948,0.9249,0.9643,positive,sensitivity
er_reason,Phi-3-mini,2,nl,50,500,0.2317,498,0.996,0.9855,0.9989,positive,sensitivity
er_reason,Phi-3-mini,2,nl,75,500,0.2317,500,1.0,0.9924,1.0,positive,sensitivity
mimic_discharge,BGE-base,1,keyword,10,500,-0.0303,136,0.272,0.2348,0.3126,negative,specificity
mimic_discharge,BGE-base,1,keyword,20,500,-0.0303,271,0.542,0.4982,0.5852,negative,specificity
mimic_discharge,BGE-base,1,keyword,30,500,-0.0303,330,0.66,0.6174,0.7002,negative,specificity
mimic_discharge,BGE-base,1,keyword,50,500,-0.0303,405,0.81,0.7733,0.842,negative,specificity
mimic_discharge,BGE-base,1,keyword,75,500,-0.0303,473,0.946,0.9226,0.9626,negative,specificity
mimic_discharge,BGE-base,1,nl,10,500,-0.0607,103,0.206,0.1729,0.2436,negative,specificity
mimic_discharge,BGE-base,1,nl,20,500,-0.0607,194,0.388,0.3463,0.4314,negative,specificity
mimic_discharge,BGE-base,1,nl,30,500,-0.0607,252,0.504,0.4603,0.5476,negative,specificity
mimic_discharge,BGE-base,1,nl,50,500,-0.0607,372,0.744,0.704,0.7803,negative,specificity
mimic_discharge,BGE-base,1,nl,75,500,-0.0607,489,0.978,0.961,0.9877,negative,specificity
mimic_discharge,BioLORD-2023,1,keyword,10,500,-0.0568,315,0.63,0.5868,0.6712,negative,specificity
mimic_discharge,BioLORD-2023,1,keyword,20,500,-0.0568,411,0.822,0.7861,0.853,negative,specificity
mimic_discharge,BioLORD-2023,1,keyword,30,500,-0.0568,429,0.858,0.8247,0.8859,negative,specificity
mimic_discharge,BioLORD-2023,1,keyword,50,500,-0.0568,479,0.958,0.9366,0.9724,negative,specificity
mimic_discharge,BioLORD-2023,1,keyword,75,500,-0.0568,500,1.0,0.9924,1.0,negative,specificity
mimic_discharge,BioLORD-2023,1,nl,10,500,-0.0871,239,0.478,0.4346,0.5218,negative,specificity
mimic_discharge,BioLORD-2023,1,nl,20,500,-0.0871,349,0.698,0.6564,0.7366,negative,specificity
mimic_discharge,BioLORD-2023,1,nl,30,500,-0.0871,390,0.78,0.7416,0.8141,negative,specificity
mimic_discharge,BioLORD-2023,1,nl,50,500,-0.0871,455,0.91,0.8817,0.9321,negative,specificity
mimic_discharge,BioLORD-2023,1,nl,75,500,-0.0871,498,0.996,0.9855,0.9989,negative,specificity
mimic_discharge,GTE-base,1,keyword,10,500,-0.0534,149,0.298,0.2596,0.3395,negative,specificity
mimic_discharge,GTE-base,1,keyword,20,500,-0.0534,338,0.676,0.6338,0.7155,negative,specificity
mimic_discharge,GTE-base,1,keyword,30,500,-0.0534,407,0.814,0.7775,0.8457,negative,specificity
mimic_discharge,GTE-base,1,keyword,50,500,-0.0534,461,0.922,0.8951,0.9424,negative,specificity
mimic_discharge,GTE-base,1,keyword,75,500,-0.0534,491,0.982,0.9661,0.9905,negative,specificity
mimic_discharge,GTE-base,1,nl,10,500,-0.0709,93,0.186,0.1543,0.2225,negative,specificity
mimic_discharge,GTE-base,1,nl,20,500,-0.0709,254,0.508,0.4643,0.5516,negative,specificity
mimic_discharge,GTE-base,1,nl,30,500,-0.0709,309,0.618,0.5747,0.6595,negative,specificity
mimic_discharge,GTE-base,1,nl,50,500,-0.0709,444,0.888,0.8573,0.9127,negative,specificity
mimic_discharge,GTE-base,1,nl,75,500,-0.0709,495,0.99,0.9768,0.9957,negative,specificity
mimic_discharge,MedCPT,1,keyword,10,500,-0.0565,118,0.236,0.2009,0.2751,negative,specificity
mimic_discharge,MedCPT,1,keyword,20,500,-0.0565,199,0.398,0.356,0.4415,negative,specificity
mimic_discharge,MedCPT,1,keyword,30,500,-0.0565,221,0.442,0.3991,0.4858,negative,specificity
mimic_discharge,MedCPT,1,keyword,50,500,-0.0565,302,0.604,0.5605,0.6459,negative,specificity
mimic_discharge,MedCPT,1,keyword,75,500,-0.0565,448,0.896,0.8662,0.9198,negative,specificity
